989012504,20000,FD,First Discoveries Mid-term,Mid-Term
989013101,20000,FD,First Discoveries Midterm,Mid-Term
989012509,43396,B1,Basic 1 Mid-term ,Mid-Term
989013148,43396,B1,Basic 1 Midterm,Mid-Term
989012514,43870,B2,Basic 2 Mid-term,Mid-Term
989013188,43870,B2,Basic 2 Midterm,Mid-Term
989012519,44205,B3,Basic 3 Mid-term,Mid-Term
989013189,44205,B3,Basic 3 Midterm,Mid-Term
989012524,44845,I1,Intermediate 1 Mid-term,Mid-Term
989013270,44845,I1,Intermediate 1 Midterm,Mid-Term
989012529,45178,I2,Intermediate 2 Mid-term,Mid-Term
989013369,45178,I2,Intermediate 2 Midterm,Mid-Term
989012534,45441,I3,Intermediate 3 Mid-term,Mid-Term
989013421,45441,I3,Intermediate 3 Midterm,Mid-Term
989012539,45626,A1,Advanced 1 Mid-term,Mid-Term
989013464,45626,A1,Advanced 1 Midterm,Mid-Term
989012544,45689,A2,Advanced 2 Mid-term,Mid-Term
989013505,45689,A2,Advanced 2 Midterm,Mid-Term
989012549,45742,A3,Advanced 3 Mid-term,Mid-Term
989013545,45742,A3,Advanced 3 Midterm,Mid-Term
