Basic,Basic1,Reading,B1RAPET,B1RAPET001,TRUE,Multiple Choice Question Whole
Basic,Basic1,Reading,B1RAPET,B1RAPET002,the people,Multiple Choice Question Whole
Basic,Basic1,Reading,B1RAPET,B1RAPET003,TRUE,Multiple Choice Question Whole
Basic,Basic1,Reading,B1RAPET,B1RAPET004,Tuesday evening at eight o'clock.,Multiple Choice Question Whole
Basic,Basic1,Reading,B1RAPET,B1RAPET005,2 dollars for a 5-year-old child.,Multiple Choice Question Whole
Basic,Basic1,Reading,B1RAPET,B1RAPET006,FALSE,Multiple Choice Question Whole
Basic,Basic1,Listening,b1ltp1t,b1ltp1t001,bus,Cloze Whole
Basic,Basic1,Listening,b1ltp1t,b1ltp1t002,FALSE,Multiple Choice Question Whole
Basic,Basic1,Listening,b1ltp1t,b1ltp1t003,FALSE,Multiple Choice Question Whole
Basic,Basic1,Listening,b1ltp1t,b1ltp1t004,FALSE,Multiple Choice Question Whole
Basic,Basic1,Listening,b1ltp1t,b1ltp1t005,"No, it's not.",Multiple Choice Question Whole
Basic,Basic1,Grammar,b1gpp1t,b1gpp1t001,"is,are",Fill In The Blanks Whole
Basic,Basic1,Grammar,b1gpp1t,b1gpp1t002,"am,is",Fill In The Blanks Whole
Basic,Basic1,Grammar,b1gpp1t,b1gpp1t003," 's
ries
es",Fill In The Blanks Whole
Basic,Basic1,Grammar,b1gpp1t,b1gpp1t004,There are,Cloze Whole
Basic,Basic1,Grammar,b1gpp1t,b1gpp1t005,is sleeping on the chair,Cloze Whole
Basic,Basic1,Grammar,b1gpp1t,b1gpp1t006,is buying,Cloze Whole
Basic,Basic1,Grammar,b1gpp1t,b1gpp1t007,"ming
are watching",Fill In The Blanks Whole
Basic,Basic1,Grammar,b1gpp1t,b1gpp1t008,"re giving
Are you coming,ying",Fill In The Blanks Whole
Basic,Basic1,Grammar,b1gpp1t,b1gpp1t009,am not studying,Cloze Whole
Basic,Basic1,Grammar,b1gpp1t,b1gpp1t010,yours,Cloze Whole
Basic,Basic2,Reading,b2rsp1t,b2rsp1t001,My Interesting Neighborhood,Cloze Whole
Basic,Basic2,Reading,b2rsp1t,b2rsp1t002,She lives on a quiet street with interesting neighbors.,Multiple Choice Question Whole
Basic,Basic2,Reading,b2rsp1t,b2rsp1t003,He works at night.,Multiple Choice Question Whole
Basic,Basic2,Reading,b2rsp1t,b2rsp1t004,Paulo Guzman,Multiple Choice Question Whole
Basic,Basic2,Reading,b2rsp1t,b2rsp1t005,cars,Multiple Choice Question Whole
Basic,Basic2,Listening,b2lrp1t,b2lrp1t001,FALSE,Multiple Choice Question Whole
Basic,Basic2,Listening,b2lrp1t,b2lrp1t002,"It's in Washington
 D.C",Multiple Choice Question Whole
Basic,Basic2,Listening,b2lrp1t,b2lrp1t003,They were in their rooms.,Multiple Choice Question Whole
